longitude,latitude,altitude,distance_from_boundarycentre
73.56634,18.875935,-16.85,2508.7
73.56636,18.87591,-14.12,2512.3
73.56638,18.875887,-17.09,2515.8
73.566414,18.875866,-17.19,2519.8
73.56644,18.875845,-17.27,2523.1
73.56647,18.875824,-14.67,2527.0
73.56649,18.875805,-14.88,2530.3
73.56652,18.875784,-15.12,2534.2
73.56655,18.875765,-15.37,2538.0
73.566574,18.875746,-12.74,2541.2
73.566605,18.875727,-12.52,2545.0
73.566635,18.875708,-12.3,2548.8
73.566666,18.875689,-9.34,2552.6
73.566696,18.87567,-6.38,2556.4
73.56673,18.87565,-3.42,2560.1
73.56675,18.875631,-3.24,2563.4
73.56678,18.875614,-5.97,2567.0
73.5668,18.875597,-8.69,2570.1
73.566826,18.875582,-11.41,2573.0
73.56685,18.875563,-14.14,2576.2
73.56688,18.875546,-17.2,2579.8
73.5669,18.875525,-20.29,2583.2
73.566925,18.875505,-23.38,2586.4
73.566956,18.875484,-26.56,2590.3
73.56698,18.875465,-29.93,2593.5
73.56701,18.875446,-29.91,2597.3
73.56704,18.87543,-26.97,2601.0
73.56707,18.875412,-24.05,2604.6
73.56711,18.875397,-21.1,2608.7
73.56714,18.875381,-18.14,2612.2
73.56717,18.875368,-15.16,2615.6
73.5672,18.875353,-12.15,2619.1
73.56723,18.87534,-9.16,2622.4
73.56727,18.875326,-6.06,2626.4
73.5673,18.87531,-2.79,2629.9
73.56733,18.875298,-2.72,2633.3
73.56736,18.875284,-2.66,2636.6
73.56739,18.87527,-2.63,2640.0
73.56742,18.875256,-2.59,2643.5
73.56746,18.87524,-2.52,2647.6
73.56749,18.875225,-2.46,2651.1
73.56752,18.875208,-2.38,2654.7
73.56755,18.875193,-2.31,2658.3
73.56758,18.875175,-2.27,2661.9
73.56761,18.875158,-2.23,2665.6
73.567635,18.875141,-2.4,2668.6
73.567665,18.875124,-2.58,2672.3
73.567696,18.875105,-2.51,2676.1
73.567726,18.875086,-2.51,2679.9
73.56776,18.875067,-2.51,2683.7
73.56779,18.875048,-2.5,2687.5
73.56781,18.875029,-2.49,2690.7
73.56784,18.875008,-2.45,2694.6
73.56787,18.874989,-2.38,2698.4
73.567894,18.874968,-5.15,2701.8
73.567924,18.874947,-4.98,2705.7
73.567955,18.874926,-4.86,2709.7
73.56798,18.874903,-4.93,2713.2
73.56801,18.87488,-4.95,2717.2
73.56804,18.874857,-4.97,2721.3
73.56806,18.874832,-5.02,2725.0
73.56809,18.87481,-5.1,2729.1
73.56812,18.874784,-5.21,2733.3
73.568146,18.874762,-5.16,2736.8
73.56817,18.874737,-2.25,2740.4
73.5682,18.87471,-2.31,2744.8
73.56822,18.874685,-3.34,2748.4
73.56825,18.87466,-4.36,2752.7
73.568275,18.874634,-4.35,2756.4
73.5683,18.874607,-4.33,2760.2
73.56832,18.87458,-4.29,2764.0
73.56835,18.874554,-4.24,2768.4
73.568375,18.874527,-4.17,2772.2
73.568405,18.874502,-4.29,2776.4
73.56843,18.87448,-5.42,2779.9
73.56846,18.874456,-6.5,2784.0
73.56849,18.874434,-6.57,2788.1
73.56852,18.874413,-6.67,2792.0
73.56855,18.874393,-7.87,2795.8
73.56859,18.874376,-7.89,2800.0
73.56862,18.874357,-7.88,2803.8
73.56865,18.87434,-7.88,2807.5
73.56868,18.874323,-7.86,2811.2
73.56871,18.874308,-7.84,2814.7
73.56875,18.87429,-6.83,2818.9
73.56878,18.874275,-5.84,2822.4
73.56881,18.87426,-4.83,2825.9
73.56884,18.874243,-3.82,2829.6
73.56887,18.874228,-2.74,2833.1
73.56891,18.87421,-2.91,2837.4
73.56894,18.874193,-3.1,2841.0
73.56897,18.874178,-3.28,2844.5
73.569,18.87416,-3.5,2848.2
73.56903,18.874144,-3.76,2851.9
73.56906,18.874126,-4.08,2855.5
73.56909,18.87411,-4.25,2859.2
73.56912,18.874092,-4.09,2862.8
